
10 후회하고 있을때	가정법 과거, 
How much will it cost to rent a car?	차 빌리려면 돈이 얼마나 들지?    "렌러"
How much will it cost to get my nose done?	코 고치려면 돈이 얼마나 들지? 
How much will it cost to go to Europe?	유럽에 가려면 돈이 얼마나 들지?
How much will it cost to remodel the building?	그 건물 개조하려면 돈이 얼마나 들지?
How much can you spend  to do that? 	그렇게 하려면 너는 돈이 얼마나 쓸수 있니 ? 

24 내생각을 꼭 집어 이야기 하기	what I think. : 내가 생각하는 것 (what은 "것"이다.)
That's what I think.	그게 바로 내가 생각하는 거야.  "와라"
That's what I believe.	그게 바로 내가 믿는 거야.
That's what I expect you to do.	그게 바로 너한테 기대하는 거야.
That's what I want you to do.	그게 바로 너한테 원하는 거야. 
That's what I can promise you.	그게 바로 내가 너한테 약속할 수 있는 거야.
Let me tell you what I think.	내가 생각하는 것을 말해 줄께


[출처] 자동 암기 영어 회화 3권|작성자 Tony
https://blog.naver.com/ju0kim/100136359298
