Date,Day,제주Ava,제주H/U,제주Sold,제주Occ%,제주ADR,제주Rm Rev.,제주FB Rev.,남원Ava,남원H/U,남원Sold,남원Occ%,남원ADR,남원Rm Rev.,남원FB Rev.,경주Ava,경주H/U,경주Sold,경주Occ%,경주ADR,경주Rm Rev.,경주FB Rev.,낙산Ava,낙산H/U,낙산Sold,낙산Occ%,낙산ADR,낙산Rm Rev.,낙산FB Rev.,드림Ava,드림H/U,드림Sold,드림Occ%,드림ADR,드림Rm Rev.,드림FB Rev.,도고Ava,도고H/U,도고Sold,도고Occ%,도고ADR,도고Rm Rev.,도고FB Rev.,가평Ava,가평H/U,가평Sold,가평Occ%,가평ADR,가평Rm Rev.,가평FB Rev.
2003-08-07,Thu,89.0,1.0,17.0,19.1,"203,256","3,455,354",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-08,Fri,87.0,3.0,25.0,28.7,"186,140","4,653,512",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-09,Sat,89.0,1.0,10.0,11.2,"195,481","1,954,810",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-10,Sun,89.0,1.0,18.0,20.2,"191,610","3,448,975",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-11,Mon,89.0,1.0,10.0,11.2,"182,922","1,829,222",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-12,Tue,90.0,0.0,20.0,22.2,"178,962","3,579,230",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-13,Wed,88.0,2.0,31.0,35.2,"178,716","5,540,187",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-14,Thu,90.0,0.0,47.0,52.2,"188,926","8,879,517",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-15,Fri,89.0,1.0,88.0,98.9,"206,069","18,134,032",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-16,Sat,90.0,0.0,89.0,98.9,"214,373","19,079,194",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-17,Sun,90.0,0.0,27.0,30.0,"203,837","5,503,590",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-18,Mon,90.0,0.0,33.0,36.7,"139,536","4,604,689",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-19,Tue,90.0,0.0,23.0,25.6,"142,347","3,273,979",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-20,Wed,89.0,1.0,61.0,68.5,"135,676","8,276,243",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-21,Thu,89.0,1.0,32.0,36.0,"135,494","4,335,798",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-22,Fri,90.0,0.0,31.0,34.4,"177,436","5,500,515",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-23,Sat,87.0,3.0,35.0,40.2,"149,875","5,245,612",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-24,Sun,89.0,1.0,18.0,20.2,"127,200","2,289,597",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-25,Mon,90.0,0.0,24.0,26.7,"116,630","2,799,121",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-26,Tue,90.0,0.0,73.0,81.1,"125,222","9,141,221",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-27,Wed,89.0,1.0,72.0,80.9,"119,870","8,630,616",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-28,Thu,90.0,0.0,66.0,73.3,"118,188","7,800,438",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-29,Fri,89.0,1.0,65.0,73.0,"111,234","7,230,238",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-30,Sat,88.0,2.0,35.0,39.8,"78,033","2,731,150",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-31,Sun,88.0,2.0,26.0,29.5,"68,906","1,791,546",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-01,Mon,89.0,1.0,18.0,20.2,"70,747","1,273,446",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-02,Tue,89.0,1.0,21.0,23.6,"94,611","1,986,837",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-03,Wed,89.0,1.0,23.0,25.8,"97,972","2,253,347",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-04,Thu,89.0,1.0,25.0,28.1,"122,427","3,060,678",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-05,Fri,89.0,1.0,30.0,33.7,"130,216","3,906,494",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-06,Sat,89.0,1.0,16.0,18.0,"83,151","1,330,409",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-07,Sun,90.0,0.0,6.0,6.7,"13,926","83,556",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-08,Mon,90.0,0.0,16.0,17.8,"80,243","1,283,883",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-09,Tue,89.0,1.0,15.0,16.9,"79,380","1,190,696",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-10,Wed,89.0,1.0,35.0,39.3,"74,202","2,597,087",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-11,Thu,89.0,1.0,58.0,65.2,"77,479","4,493,793",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-12,Fri,88.0,2.0,51.0,58.0,"99,517","5,075,388",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-13,Sat,89.0,1.0,35.0,39.3,"106,986","3,744,512",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-14,Sun,89.0,1.0,14.0,15.7,"87,629","1,226,810",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-15,Mon,89.0,1.0,6.0,6.7,"57,934","347,604",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-16,Tue,88.0,2.0,21.0,23.9,"61,145","1,284,038",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-17,Wed,88.0,2.0,19.0,21.6,"62,361","1,184,865",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-18,Thu,89.0,1.0,18.0,20.2,"53,357","960,434",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-19,Fri,89.0,1.0,31.0,34.8,"63,165","1,958,124",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-20,Sat,89.0,1.0,38.0,42.7,"64,766","2,461,101",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-21,Sun,89.0,1.0,28.0,31.5,"72,984","2,043,543",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-22,Mon,89.0,1.0,53.0,59.6,"71,828","3,806,873",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-23,Tue,90.0,0.0,28.0,31.1,"80,971","2,267,179",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-24,Wed,90.0,0.0,22.0,24.4,"71,498","1,572,966",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-25,Thu,88.0,2.0,37.0,42.0,"62,852","2,325,527",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-26,Fri,88.0,2.0,45.0,51.1,"76,702","3,451,570",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-27,Sat,89.0,1.0,70.0,78.7,"83,188","5,823,187",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-28,Sun,89.0,1.0,39.0,43.8,"85,925","3,351,081",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-29,Mon,87.0,3.0,34.0,39.1,"87,327","2,969,110",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,Tue,89.0,1.0,49.0,55.1,"108,066","5,295,230",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,Wed,88.0,2.0,67.0,76.1,"60,248","4,036,645",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-02,Thu,89.0,1.0,46.0,51.7,"95,330","4,385,162",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-03,Fri,89.0,1.0,88.0,98.9,"162,142","14,268,514",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-04,Sat,87.0,3.0,90.0,103.4,"130,704","11,763,321",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-05,Sun,89.0,1.0,90.0,101.1,"124,450","11,200,490",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-06,Mon,89.0,1.0,56.0,62.9,"134,615","7,538,427",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-07,Tue,89.0,1.0,56.0,62.9,"97,704","5,471,448",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-08,Wed,89.0,1.0,36.0,40.4,"88,885","3,199,845",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-09,Thu,90.0,0.0,62.0,68.9,"90,421","5,606,075",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-10,Fri,90.0,0.0,58.0,64.4,"116,965","6,783,949",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-11,Sat,90.0,0.0,46.0,51.1,"129,961","5,978,208",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-12,Sun,90.0,0.0,32.0,35.6,"149,377","4,780,049",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
